,date,home_team,away_team,winner,first_shooter
321,2003-02-04,Uruguay,Iran,Uruguay,Iran
322,2003-03-07,Benin,Niger,Benin,Unknown
323,2003-03-15,Guadeloupe,French Guiana,Guadeloupe,Unknown
324,2003-03-22,Mozambique,Lesotho,Mozambique,Unknown
325,2003-03-27,Tunisia,Ghana,Tunisia,Unknown
326,2003-03-30,Ghana,Madagascar,Ghana,Unknown
327,2003-05-24,Botswana,Malawi,Malawi,Unknown
328,2003-07-09,New Caledonia,Vanuatu,New Caledonia,Unknown
329,2003-08-16,Malawi,Zambia,Malawi,Unknown
330,2003-09-24,Algeria,Gabon,Algeria,Unknown
331,2003-09-26,Algeria,Burkina Faso,Algeria,Unknown
332,2003-12-08,Kenya,Rwanda,Rwanda,Unknown
333,2003-12-08,Sudan,Uganda,Uganda,Unknown
334,2004-02-11,Tunisia,Nigeria,Tunisia,Tunisia
335,2004-02-19,Kazakhstan,Armenia,Kazakhstan,Unknown
336,2004-02-28,Lesotho,Botswana,Botswana,Unknown
337,2004-06-23,Jordan,Syria,Syria,Unknown
338,2004-06-24,Portugal,England,Portugal,England
339,2004-06-26,Sweden,Netherlands,Netherlands,Sweden
340,2004-07-18,Angola,Botswana,Angola,Unknown
341,2004-07-21,Uruguay,Brazil,Brazil,Brazil
342,2004-07-25,Argentina,Brazil,Brazil,Argentina
343,2004-07-30,Uzbekistan,Bahrain,Bahrain,Bahrain
344,2004-07-31,Japan,Jordan,Japan,Japan
345,2004-08-03,China PR,Iran,China PR,China PR
346,2004-10-22,Nigeria,Ecuador,Ecuador,Unknown
347,2004-10-24,Zimbabwe,Zambia,Zambia,Unknown
348,2004-11-20,Zambia,Angola,Angola,Unknown
349,2004-11-30,Thailand,Estonia,Thailand,Unknown
350,2004-11-30,Singapore,Hong Kong,Hong Kong,Unknown
351,2004-12-02,Thailand,Slovakia,Slovakia,Unknown
352,2004-12-03,Bahrain,Latvia,Bahrain,Unknown
353,2004-12-03,Finland,Oman,Oman,Unknown
354,2004-12-22,Ethiopia,Kenya,Ethiopia,Unknown
355,2004-12-24,Qatar,Oman,Qatar,Unknown
356,2005-02-08,Cyprus,Austria,Cyprus,Unknown
357,2005-02-09,Austria,Latvia,Latvia,Unknown
358,2005-02-27,Costa Rica,Honduras,Costa Rica,Unknown
359,2005-04-16,Namibia,Botswana,Botswana,Unknown
360,2005-05-15,Jersey,Guernsey,Guernsey,Unknown
361,2005-06-26,Mexico,Argentina,Argentina,Mexico
362,2005-07-17,South Africa,Panama,Panama,Panama
363,2005-07-24,United States,Panama,United States,Panama
364,2005-07-28,Kuwait,United Arab Emirates,United Arab Emirates,Unknown
365,2005-07-30,Egypt,United Arab Emirates,Egypt,Unknown
366,2005-08-13,South Africa,Zambia,Zambia,Unknown
367,2005-08-15,Ukraine,Israel,Israel,Unknown
368,2005-11-16,Australia,Uruguay,Australia,Australia
369,2005-12-10,Syria,Iraq,Iraq,Unknown
370,2005-12-10,Zanzibar,Uganda,Zanzibar,Unknown
371,2006-02-04,Nigeria,Tunisia,Nigeria,Nigeria
372,2006-02-04,Cameroon,Ivory Coast,Ivory Coast,Cameroon
373,2006-02-10,Egypt,Ivory Coast,Egypt,Egypt
374,2006-02-28,Finland,Kazakhstan,Kazakhstan,Unknown
375,2006-03-01,Finland,Belarus,Finland,Unknown
376,2006-04-29,Lesotho,Mozambique,Lesotho,Unknown
377,2006-04-30,Mauritius,Mozambique,Mozambique,Unknown
378,2006-05-21,Botswana,South Africa,Botswana,Unknown
379,2006-06-03,Northern Cyprus,Zanzibar,Northern Cyprus,Unknown
380,2006-06-26,Switzerland,Ukraine,Ukraine,Ukraine
381,2006-06-30,Germany,Argentina,Germany,Germany
382,2006-07-01,England,Portugal,Portugal,Portugal
383,2006-07-09,Italy,France,Italy,Italy
384,2006-07-22,Namibia,Seychelles,Seychelles,Unknown
385,2007-04-29,Mozambique,Zimbabwe,Mozambique,Unknown
386,2007-05-06,Guernsey,Jersey,Jersey,Unknown
387,2007-05-26,Malawi,South Africa,South Africa,Unknown
388,2007-05-26,Eswatini,Mauritius,Mauritius,Unknown
389,2007-07-10,Uruguay,Brazil,Brazil,Brazil
390,2007-07-21,Japan,Australia,Japan,Australia
391,2007-07-22,Iran,South Korea,South Korea,South Korea
392,2007-07-25,Iraq,South Korea,Iraq,South Korea
393,2007-07-28,South Korea,Japan,South Korea,South Korea
394,2007-07-29,Botswana,Angola,Botswana,Unknown
395,2007-08-18,Mauritius,Mayotte,Mayotte,Unknown
396,2007-08-18,Madagascar,Réunion,Réunion,Unknown
397,2007-10-24,South Africa,Zambia,South Africa,Unknown
398,2008-05-05,Jersey,Guernsey,Jersey,Unknown
399,2008-06-20,Croatia,Turkey,Turkey,Croatia
400,2008-06-22,Spain,Italy,Spain,Spain
401,2008-07-27,Zambia,Zimbabwe,Zambia,Unknown
402,2008-09-30,New Caledonia,Martinique,Martinique,Unknown
403,2009-06-26,Provence,Sápmi,Sápmi,Unknown
404,2009-07-23,Costa Rica,Mexico,Mexico,Mexico
405,2009-10-28,Zimbabwe,South Africa,Zimbabwe,Unknown
406,2010-01-25,Zambia,Nigeria,Nigeria,Zambia
407,2010-05-21,Corsica,Gabon,Corsica,Unknown
408,2010-06-29,Paraguay,Japan,Paraguay,Paraguay
409,2010-07-02,Uruguay,Ghana,Uruguay,Uruguay
410,2010-09-22,French Guiana,Mayotte,Mayotte,Unknown
411,2010-09-23,Guadeloupe,New Caledonia,New Caledonia,Unknown
412,2010-09-26,Guadeloupe,Tahiti,Tahiti,Unknown
413,2010-09-29,New Caledonia,Tahiti,Tahiti,Unknown
414,2010-10-02,Réunion,Martinique,Martinique,Unknown
415,2011-01-25,Japan,South Korea,Japan,Japan
416,2011-02-08,Romania,Ukraine,Ukraine,Unknown
417,2011-02-09,Sweden,Ukraine,Ukraine,Unknown
418,2011-05-08,Guernsey,Jersey,Jersey,Unknown
419,2011-06-08,Uruguay,Netherlands,Uruguay,Netherlands
420,2011-06-18,Costa Rica,Honduras,Honduras,Costa Rica
421,2011-06-19,Panama,El Salvador,Panama,Panama
422,2011-06-29,Saare County,Åland Islands,Åland Islands,Unknown
423,2011-06-30,Isle of Man,Menorca,Menorca,Unknown
424,2011-07-12,Saint Lucia,Aruba,Saint Lucia,Unknown
425,2011-07-16,Argentina,Uruguay,Uruguay,Argentina
426,2011-07-17,Brazil,Paraguay,Paraguay,Brazil
427,2011-07-20,Paraguay,Venezuela,Paraguay,Paraguay
428,2011-08-11,Mayotte,Mauritius,Mauritius,Unknown
429,2011-08-13,Seychelles,Mauritius,Seychelles,Unknown
430,2012-02-05,Gabon,Mali,Mali,Gabon
431,2012-02-12,Zambia,Ivory Coast,Zambia,Ivory Coast
432,2012-06-03,Finland,Latvia,Latvia,Finland
433,2012-06-17,Mozambique,Tanzania,Mozambique,Unknown
434,2012-06-24,England,Italy,Italy,Italy
435,2012-06-27,Portugal,Spain,Spain,Spain
436,2012-08-25,Alderney,Sealand,Sealand,Unknown
437,2012-09-02,India,Cameroon,India,Unknown
438,2012-09-29,Réunion,Martinique,Réunion,Unknown
439,2012-10-13,Uganda,Zambia,Zambia,Unknown
440,2012-11-21,Argentina,Brazil,Brazil,Argentina
441,2013-01-23,Sweden,North Korea,Sweden,Unknown
442,2013-02-02,South Africa,Mali,Mali,South Africa
443,2013-02-06,Burkina Faso,Ghana,Burkina Faso,Ghana
444,2013-06-27,Spain,Italy,Spain,Italy
445,2013-06-30,Uruguay,Italy,Italy,Uruguay
446,2013-07-13,Zimbabwe,Malawi,Zimbabwe,Unknown
447,2013-07-14,Angola,Lesotho,Lesotho,Unknown
448,2013-07-17,Zambia,South Africa,Zambia,Unknown
449,2014-05-05,Sealand,Chagos Islands,Chagos Islands,Unknown
450,2014-05-29,Latvia,Estonia,Latvia,Estonia
451,2014-06-04,Abkhazia,South Ossetia,South Ossetia,Unknown
452,2014-06-04,Ellan Vannin,Iraqi Kurdistan,Ellan Vannin,Unknown
453,2014-06-05,Padania,Abkhazia,Padania,Unknown
